Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,Sensory/Vivid Details,Hope,Values,Vulnerability
"
Good evening.",,,,,,,,,,
"To my husband, Doug, thank you for being an incredible partner to me and father
to Cole and Ella.",,,,,,,,,1,
And happy anniversary.,,,,,,,,,,
I love you so very much.,,,,,,,,,,
To Joe Biden—Mr. President.,,,,,,,,,,
"When I think about the path we have traveled
together, I am filled with gratitude.",,,,,,,1,,1,
"Your record is extraordinary, as history will show.",,,,,,,,,,
And your character is inspiring.,,,,,,,,,,
Doug and I love you and Jill.,,,,,,,,,,
And I am forever thankful to you both.,,,,,,,,,,
"And to Coach Tim Walz, you are going to be an incredible Vice President.",,,1,,,,,,,
"And to the delegates and everyone who has put your faith in our campaign—your
support is humbling.",,,1,,,,,,,
"America, the path that led me here in recent weeks, was no doubt … unexpected.",1,,1,,,,,,,
But I’m no stranger to unlikely journeys.,1,,,1,,,,,,1
My mother Shyamala Harris had one of her own.,1,,,,,,,,,
I miss her every day.,1,,,,,,,,1,
"Especially
now.",1,,,,,,,,,
And I know she’s looking down tonight.,1,,,,,1,,,1,
And smiling.,1,,,,,1,,,1,
"My mother was 19 when she crossed the world alone, traveling from India to
California, with an unshakeable dream to be the scientist who would cure breast
cancer.",1,,,,,,,1,,
"When she finished school, she was supposed to return home to a traditional
arranged marriage.",1,,,,1,,,1,,
"But, as fate would have it, she met my father, Donald Harris, a student from
Jamaica.",1,,,1,,1,,,,
"They fell in love and got married, and that act of self-determination
made my sister Maya and me.",1,,,,1,,,,1,
"Growing up, we moved a lot.",1,,,,,,,,,
"I will always remember that big Mayflower truck,
packed with all our belongings, ready to go: to Illinois, to Wisconsin, and
wherever our parents’ jobs took us.",1,,,,,1,1,,,
My early memories of my parents together are joyful ones.,1,,,,,,,,1,
"A home filled with
laughter and music.",1,,,,,,1,,,
Aretha.,1,,,,,,1,,,
Coltrane.,1,,,,,,1,,,
And Miles.,1,,,,,,1,,,
"At the park, my mother would tell us to stay close.",1,,,,1,,1,,1,1
"But my father would just
smile, and say, “Run, Kamala.",1,,,,1,,1,,1,
