Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,Specific/Vivid Details,Hope,Values,Vulnerability
Good evening.,0,0,0,0,0,0,0,0,0,0
"To my husband, Doug, thank you for being an incredible partner to me and father
to Cole and Ella.",0,0,0,0,0,0,0,0,1,0
And happy anniversary.,0,0,0,0,0,0,0,0,1,0
I love you so very much.,0,0,0,0,0,0,0,0,0,1
To Joe Biden—Mr. President.,0,0,0,0,0,0,0,0,0,0
"When I think about the path we have traveled
together, I am filled with gratitude.",0,1,0,0,0,0,0,0,1,0
"Your record is extraordinary, as history will show.",0,0,0,0,0,0,0,0,1,0
And your character is inspiring.,0,0,0,0,0,0,0,0,1,0
Doug and I love you and Jill.,0,0,0,0,0,0,0,0,0,1
And I am forever thankful to you both.,0,0,0,0,0,0,0,0,1,0
"And to Coach Tim Walz, you are going to be an incredible Vice President.",0,0,0,0,0,0,0,0,1,0
"And to the delegates and everyone who has put your faith in our campaign—your
support is humbling.",0,1,0,0,0,0,0,0,0,1
"America, the path that led me here in recent weeks, was no doubt … unexpected.",1,0,0,0,0,0,1,0,0,0
But I'm no stranger to unlikely journeys.,1,0,0,0,0,0,1,0,0,0
My mother Shyamala Harris had one of her own.,1,0,0,0,0,0,1,0,0,1
I miss her every day.,1,0,0,0,0,0,0,0,0,1
"Especially
now.",1,0,0,0,0,0,0,0,0,1
And I know she's looking down tonight.,1,0,0,0,0,0,0,0,0,1
And smiling.,1,0,0,0,0,0,0,0,0,1
"My mother was 19 when she crossed the world alone, traveling from India to
California, with an unshakeable dream to be the scientist who would cure breast
cancer.",1,0,0,1,0,0,1,0,1,0
"When she finished school, she was supposed to return home to a traditional
arranged marriage.",1,0,0,1,0,0,1,0,0,0
"But, as fate would have it, she met my father, Donald Harris, a student from
Jamaica.",1,0,0,0,0,0,1,0,0,0
"They fell in love and got married, and that act of self-determination
made my sister Maya and me.",1,0,0,0,0,0,1,0,1,0
"Growing up, we moved a lot.",1,0,0,0,0,0,1,0,0,0
"I will always remember that big Mayflower truck,
packed with all our belongings, ready to go: to Illinois, to Wisconsin, and
wherever our parents' jobs took us.",1,0,0,0,0,0,1,0,0,0
My early memories of my parents together are joyful ones.,1,0,0,0,0,0,1,0,0,0
"A home filled with
laughter and music.",1,0,0,0,0,0,1,0,0,0
Aretha.,1,0,0,0,0,0,1,0,0,0
Coltrane.,1,0,0,0,0,0,1,0,0,0
And Miles.,1,0,0,0,0,0,1,0,0,0
"At the park, my mother would tell us to stay close.",1,0,0,0,0,0,1,0,0,0
"But my father would just
smile, and say, "Run, Kamala.",1,0,0,0,0,0,1,0,0,0
"Run." "Don't be afraid." "Don't let anything stop
you."
From my earliest years, he taught me to be fearless.",1,0,0,0,0,0,1,0,1,0
But the harmony between my parents did not last.,1,0,0,1,0,0,0,0,0,0
"When I was in elementary school, they split up.",1,0,0,1,0,0,1,0,0,0
"And it was mostly my mother
who raised us.",1,0,0,0,0,0,1,0,0,0
"Before she could finally afford to buy a home, she rented a small apartment in the
East Bay.",1,0,0,1,0,0,1,0,0,0
"In the Bay, you either live in the hills or the flatlands.",1,0,0,0,0,0,1,0,0,0
We lived in the flats.,1,0,0,0,0,0,1,0,0,0
"A beautiful working-class neighborhood of Firefighters, nuses, and construction
workers, all who tended their lawns with pride.",1,0,0,0,0,0,1,0,0,0
My mother worked long hours.,1,0,0,0,0,0,1,0,0,0
"And, like many working parents, she leaned on a trusted circle to help raise us.",1,0,0,0,0,0,1,0,0,0
"Mrs. Shelton, who ran the daycare below us and became a second mother.",1,0,0,0,0,0,1,0,0,0
