Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome
It was an afternoon on a bright sunny day.,1,0,0,0,0,0
"Suddenly, a gunshot rang out and a village man shouted, run.",1,0,0,1,0,0
Run.,1,0,0,1,0,0
Military is coming.,1,0,0,1,0,0
I was only seven.,1,0,0,0,0,0
I ran to my parents and who were following a long line of villagers fleeing into jungle.,1,0,0,0,0,0
"We climbed up and down the hills, stopping only to catch our breath.",1,0,0,0,0,0
Then I look back.,1,0,0,0,1,0
I saw our entire village burning in flames.,1,0,0,0,0,1
"I kept asking why someone is burning down our homes, and why no one in the world is helping us.",1,0,0,1,0,0
I didn't know it then.,1,0,0,0,0,0
Our tribe was a target of a brutal military campaign.,1,0,0,0,0,0
I was born in a nomadic mountain tribe in the remote villages of Chiragong hill tracts near the border of Bangladesh and Burma.,1,0,0,0,0,0
"When I was nine, I witnessed my own uncle gunned down by the military.",1,0,0,1,0,0
"When I was trembling in fear, my mother pulled us aside to the corner and said, I must get out of this hell.",1,0,0,1,0,0
"When I asked how, she said education was the only way out.",1,0,0,0,1,0
I do not know what education meant to you when you were nine.,1,0,0,0,1,0
"But for me, education meant I end up shot there like my uncle.",1,0,0,0,1,0
Education enabled me to get admission in the University of Hawaii in the US.,1,0,0,0,1,0
"And because of that, I was able to flee war zone and receive political asylum in the US.",1,0,0,0,0,1
Education is my passport to life.,1,0,0,0,0,0
"In 2005, I went back home to see my ailing mother.",0,0,1,0,1,0
It was humiliating to see our villagers are working as a deliverer for the people who stole their homes and their lands.,0,0,1,0,0,0
"I also met a little boy, Aung Si.",0,0,1,1,0,0
"Seven years old, aloof, shy and homeless.",0,0,1,1,0,0
Think of what you are doing at seven.,0,0,1,0,0,0
"Coloring pictures in your classroom, or playing in your back yard.",0,0,1,0,0,0
"For Aung Si, both of his parents are shot dead.",0,0,1,0,0,0
"Instead of carrying books, he carried bricks.",0,0,1,0,0,0
"Instead of playing house, he cleans house for thirty five cents a day.",0,0,1,0,0,0
"I saw scars in his face, and I imagined the scars in his heart.",0,0,1,0,0,0
This is injustice.,0,0,1,0,0,0
I had a second chance in life.,0,0,1,0,0,0
Aung Si deserves one too.,0,0,1,0,0,0
"So I used my entire life saving of 63,000, and opened a school for elementary school for orphaned children.",1,0,0,0,1,1
"Now, you may not have experienced atrocities like Aung Singh, but I think we all know how it feels like to be powerless at times when all odds are stacked against us.",0,1,0,0,0,0
"In those darkest hours, someone, somewhere opened our eyes and gave us glimpses of hope from our class.",0,1,0,0,0,0
"I remember Mary from the divinity school, saved from the life industry.",0,1,0,1,0,0
Or Oscar from the Harvard Kennedy school.,0,1,0,0,0,0
And mentor helped him to break the cycle from the gang infested neighborhood.,0,1,0,0,1,0
"Through education, we can open eyes, give hope, and save lives for children like Aung Sing too.",0,1,0,0,0,0
"Today, Aung Si is in the fifth grade in our school, and he dreams to be a teacher someday.",0,0,1,1,0,0
"But after fifth grade, he has nowhere to go.",0,0,1,1,0,0
I used my entire life saving to build elementary school.,0,0,1,0,1,0
So I urge you to join me to build a secondary school for Ongxi.,0,0,1,0,0,0
The time is now.,0,0,1,0,0,0
We cannot wait.,0,0,1,0,0,0
And Ongxi cannot wait.,0,0,1,0,0,0
"We need to raise $10,000 to build classrooms between Harvard, Kennedy School and graduate School of Education.",0,0,1,0,0,0
"Combined, we have 1600 students, and we only need to donate $7 each to build that school.",0,0,1,1,0,0
Two Harvard schools can come together to build one school for orphan children.,0,0,1,1,0,0
Imagine what a powerful message it sends to the world.,0,0,1,0,0,0
This is not a charity.,0,0,1,0,0,0
What we do here today is empowering people to serve their communities for generations to come.,0,0,1,0,0,0
"If you believe as I do, a child doesn't have to grow up in the same darkness as he or she was born.",0,0,1,0,0,0
Or it is better to light a candle than to curse the darkness.,0,0,1,0,0,0
I urge you to join me on November 11 at Elliot Lyman Room Gadget School of Education to organize a fundraising event.,0,0,1,0,1,0
"If our Harvard education is meant to help those who are afflicted by injustice, raise voice for those who have no voice.",0,0,1,0,0,0
Let us be true to their cause.,0,0,1,0,0,0
Let us free these children from the shackle of child labor.,0,0,1,0,0,0
And let us send a message of hope to Aung Si that he is not alone.,0,0,1,0,0,1
He matters.,0,0,1,0,0,0
We believe in him.,0,0,1,0,0,0
We support him.,0,0,1,0,0,0
And he can indeed be a teacher someday and serve his communities.,0,0,1,0,0,0
Thank you very much.,0,0,1,0,0,0
